ID,visit_datetime,reserve_datetime,reserve_visitors
"restaurant_ 225","2017-01-02 17:00:00","2017-01-02 12:00:00",4
"restaurant_ 493","2017-01-02 17:00:00","2017-01-01 23:00:00",5
"restaurant_ 493","2017-01-02 17:00:00","2017-01-02 16:00:00",4
"restaurant_ 493","2017-01-02 17:00:00","2017-01-02 01:00:00",6
"restaurant_ 493","2017-01-02 17:00:00","2017-01-02 01:00:00",2
"restaurant_ 493","2017-01-02 17:00:00","2017-01-02 01:00:00",5
"restaurant_ 493","2017-01-02 17:00:00","2017-01-02 01:00:00",3
"restaurant_ 489","2017-01-02 18:00:00","2017-01-01 19:00:00",3
"restaurant_ 489","2017-01-02 18:00:00","2017-01-01 19:00:00",3
"restaurant_ 489","2017-01-02 18:00:00","2017-01-01 21:00:00",4
"restaurant_ 45","2017-01-02 18:00:00","2017-01-02 10:00:00",3
"restaurant_ 437","2017-01-02 18:00:00","2017-01-01 15:00:00",2
"restaurant_ 100","2017-01-02 18:00:00","2017-01-02 15:00:00",2
"restaurant_ 560","2017-01-02 18:00:00","2017-01-01 17:00:00",7
"restaurant_ 205","2017-01-02 18:00:00","2017-01-02 17:00:00",3
"restaurant_ 83","2017-01-02 18:00:00","2017-01-01 16:00:00",7
"restaurant_ 253","2017-01-02 18:00:00","2017-01-02 18:00:00",2
"restaurant_ 253","2017-01-02 18:00:00","2017-01-02 09:00:00",2
"restaurant_ 211","2017-01-02 18:00:00","2017-01-02 17:00:00",2
"restaurant_ 67","2017-01-02 18:00:00","2017-01-02 13:00:00",5
"restaurant_ 67","2017-01-02 18:00:00","2017-01-02 15:00:00",8
"restaurant_ 124","2017-01-02 18:00:00","2017-01-02 17:00:00",3
"restaurant_ 40","2017-01-02 18:00:00","2017-01-02 15:00:00",5
"restaurant_ 50","2017-01-02 18:00:00","2017-01-02 15:00:00",2
"restaurant_ 584","2017-01-02 18:00:00","2017-01-02 17:00:00",2
"restaurant_ 584","2017-01-02 18:00:00","2017-01-02 13:00:00",3
"restaurant_ 815","2017-01-02 18:00:00","2017-01-02 14:00:00",4
"restaurant_ 815","2017-01-02 18:00:00","2017-01-02 14:00:00",2
"restaurant_ 130","2017-01-02 18:00:00","2017-01-02 15:00:00",4
"restaurant_ 504","2017-01-02 18:00:00","2017-01-02 15:00:00",6
"restaurant_ 489","2017-01-02 19:00:00","2017-01-01 18:00:00",2
"restaurant_ 489","2017-01-02 19:00:00","2017-01-02 14:00:00",2
"restaurant_ 45","2017-01-02 19:00:00","2017-01-02 18:00:00",2
"restaurant_ 539","2017-01-02 19:00:00","2017-01-02 16:00:00",3
"restaurant_ 539","2017-01-02 19:00:00","2017-01-01 18:00:00",4
"restaurant_ 539","2017-01-02 19:00:00","2017-01-02 19:00:00",9
"restaurant_ 810","2017-01-02 19:00:00","2017-01-02 18:00:00",2
"restaurant_ 172","2017-01-02 19:00:00","2017-01-02 16:00:00",5
"restaurant_ 69","2017-01-02 19:00:00","2017-01-02 19:00:00",2
"restaurant_ 69","2017-01-02 19:00:00","2017-01-02 18:00:00",3
"restaurant_ 560","2017-01-02 19:00:00","2017-01-02 13:00:00",6
"restaurant_ 560","2017-01-02 19:00:00","2017-01-01 16:00:00",3
"restaurant_ 205","2017-01-02 19:00:00","2017-01-02 01:00:00",2
"restaurant_ 205","2017-01-02 19:00:00","2017-01-01 16:00:00",4
"restaurant_ 205","2017-01-02 19:00:00","2017-01-01 21:00:00",2
"restaurant_ 91","2017-01-02 19:00:00","2017-01-02 17:00:00",4
"restaurant_ 83","2017-01-02 19:00:00","2017-01-02 18:00:00",2
"restaurant_ 83","2017-01-02 19:00:00","2017-01-02 18:00:00",2
"restaurant_ 488","2017-01-02 19:00:00","2017-01-02 17:00:00",4
"restaurant_ 124","2017-01-02 19:00:00","2017-01-02 18:00:00",3
"restaurant_ 124","2017-01-02 19:00:00","2017-01-02 18:00:00",2
"restaurant_ 815","2017-01-02 19:00:00","2017-01-02 16:00:00",3
"restaurant_ 585","2017-01-02 19:00:00","2017-01-02 17:00:00",6
"restaurant_ 585","2017-01-02 19:00:00","2017-01-02 15:00:00",4
"restaurant_ 225","2017-01-02 19:00:00","2017-01-02 12:00:00",3
"restaurant_ 433","2017-01-02 19:00:00","2017-01-01 18:00:00",6
"restaurant_ 215","2017-01-02 19:00:00","2017-01-02 13:00:00",2
"restaurant_ 489","2017-01-02 20:00:00","2017-01-02 17:00:00",2
"restaurant_ 536","2017-01-02 20:00:00","2017-01-01 15:00:00",5
"restaurant_ 536","2017-01-02 20:00:00","2017-01-02 11:00:00",2
"restaurant_ 536","2017-01-02 20:00:00","2017-01-02 13:00:00",2
"restaurant_ 205","2017-01-02 20:00:00","2017-01-01 17:00:00",1
"restaurant_ 205","2017-01-02 20:00:00","2017-01-01 20:00:00",3
"restaurant_ 205","2017-01-02 20:00:00","2017-01-02 17:00:00",2
"restaurant_ 415","2017-01-02 20:00:00","2017-01-02 01:00:00",2
"restaurant_ 488","2017-01-02 20:00:00","2017-01-02 20:00:00",2
"restaurant_ 124","2017-01-02 20:00:00","2017-01-02 19:00:00",5
"restaurant_ 708","2017-01-02 20:00:00","2017-01-02 12:00:00",2
"restaurant_ 50","2017-01-02 20:00:00","2017-01-02 20:00:00",2
"restaurant_ 50","2017-01-02 20:00:00","2017-01-02 20:00:00",2
"restaurant_ 524","2017-01-02 20:00:00","2017-01-01 21:00:00",4
"restaurant_ 524","2017-01-02 20:00:00","2017-01-01 20:00:00",5
"restaurant_ 524","2017-01-02 20:00:00","2017-01-02 15:00:00",4
"restaurant_ 524","2017-01-02 20:00:00","2017-01-01 17:00:00",4
"restaurant_ 524","2017-01-02 20:00:00","2017-01-01 21:00:00",4
"restaurant_ 499","2017-01-02 20:00:00","2017-01-01 20:00:00",5
"restaurant_ 126","2017-01-02 20:00:00","2017-01-01 16:00:00",2
"restaurant_ 126","2017-01-02 20:00:00","2017-01-02 16:00:00",2
"restaurant_ 433","2017-01-02 20:00:00","2017-01-02 18:00:00",4
"restaurant_ 489","2017-01-02 21:00:00","2017-01-02 16:00:00",3
"restaurant_ 810","2017-01-02 21:00:00","2017-01-02 18:00:00",2
"restaurant_ 69","2017-01-02 21:00:00","2017-01-02 18:00:00",8
"restaurant_ 708","2017-01-02 21:00:00","2017-01-02 21:00:00",2
"restaurant_ 708","2017-01-02 21:00:00","2017-01-02 13:00:00",2
"restaurant_ 708","2017-01-02 21:00:00","2017-01-02 12:00:00",2
"restaurant_ 225","2017-01-02 21:00:00","2017-01-02 17:00:00",2
"restaurant_ 436","2017-01-02 21:00:00","2017-01-02 15:00:00",6
"restaurant_ 436","2017-01-02 21:00:00","2017-01-02 17:00:00",3
"restaurant_ 436","2017-01-02 21:00:00","2017-01-01 18:00:00",5
"restaurant_ 543","2017-01-02 21:00:00","2017-01-02 16:00:00",4
"restaurant_ 433","2017-01-02 21:00:00","2017-01-02 05:00:00",2
"restaurant_ 214","2017-01-02 22:00:00","2017-01-02 22:00:00",2
"restaurant_ 225","2017-01-02 22:00:00","2017-01-02 11:00:00",2
"restaurant_ 539","2017-01-02 23:00:00","2017-01-02 22:00:00",6
"restaurant_ 468","2017-01-03 02:00:00","2017-01-01 19:00:00",4
"restaurant_ 468","2017-01-03 02:00:00","2017-01-02 13:00:00",4
"restaurant_ 67","2017-01-03 11:00:00","2017-01-02 17:00:00",1
"restaurant_ 91","2017-01-03 12:00:00","2017-01-01 21:00:00",2
"restaurant_ 83","2017-01-03 12:00:00","2017-01-03 11:00:00",4
"restaurant_ 67","2017-01-03 12:00:00","2017-01-02 13:00:00",1
"restaurant_ 243","2017-01-03 12:00:00","2017-01-02 23:00:00",4
"restaurant_ 130","2017-01-03 12:00:00","2017-01-03 10:00:00",2
"restaurant_ 83","2017-01-03 13:00:00","2017-01-03 11:00:00",4
"restaurant_ 67","2017-01-03 13:00:00","2017-01-02 18:00:00",1
"restaurant_ 372","2017-01-03 15:00:00","2017-01-02 11:00:00",2
"restaurant_ 489","2017-01-03 17:00:00","2017-01-03 00:00:00",4
"restaurant_ 453","2017-01-03 17:00:00","2017-01-02 18:00:00",2
"restaurant_ 560","2017-01-03 17:00:00","2017-01-03 00:00:00",4
"restaurant_ 560","2017-01-03 17:00:00","2017-01-01 08:00:00",5
"restaurant_ 205","2017-01-03 17:00:00","2017-01-02 21:00:00",2
"restaurant_ 205","2017-01-03 17:00:00","2017-01-03 14:00:00",2
"restaurant_ 205","2017-01-03 17:00:00","2017-01-03 15:00:00",2
"restaurant_ 91","2017-01-03 17:00:00","2017-01-03 09:00:00",2
"restaurant_ 83","2017-01-03 17:00:00","2017-01-02 19:00:00",4
"restaurant_ 612","2017-01-03 17:00:00","2017-01-03 15:00:00",5
"restaurant_ 67","2017-01-03 17:00:00","2017-01-03 15:00:00",2
"restaurant_ 67","2017-01-03 17:00:00","2017-01-03 03:00:00",5
"restaurant_ 71","2017-01-03 17:00:00","2017-01-03 17:00:00",3
"restaurant_ 543","2017-01-03 17:00:00","2017-01-02 12:00:00",10
"restaurant_ 433","2017-01-03 17:00:00","2017-01-03 14:00:00",3
"restaurant_ 458","2017-01-03 18:00:00","2017-01-03 16:00:00",4
"restaurant_ 45","2017-01-03 18:00:00","2017-01-03 17:00:00",2
"restaurant_ 45","2017-01-03 18:00:00","2017-01-03 15:00:00",2
"restaurant_ 437","2017-01-03 18:00:00","2017-01-01 15:00:00",3
"restaurant_ 437","2017-01-03 18:00:00","2017-01-01 22:00:00",2
"restaurant_ 437","2017-01-03 18:00:00","2017-01-03 16:00:00",5
"restaurant_ 437","2017-01-03 18:00:00","2017-01-03 17:00:00",2
"restaurant_ 100","2017-01-03 18:00:00","2017-01-03 18:00:00",4
"restaurant_ 172","2017-01-03 18:00:00","2017-01-02 17:00:00",9
"restaurant_ 560","2017-01-03 18:00:00","2017-01-01 00:00:00",6
"restaurant_ 205","2017-01-03 18:00:00","2017-01-03 09:00:00",2
"restaurant_ 83","2017-01-03 18:00:00","2017-01-02 14:00:00",4
"restaurant_ 214","2017-01-03 18:00:00","2017-01-01 10:00:00",5
"restaurant_ 64","2017-01-03 18:00:00","2017-01-03 17:00:00",4
"restaurant_ 211","2017-01-03 18:00:00","2017-01-03 17:00:00",2
"restaurant_ 210","2017-01-03 18:00:00","2017-01-02 20:00:00",3
"restaurant_ 763","2017-01-03 18:00:00","2017-01-03 16:00:00",15
"restaurant_ 737","2017-01-03 18:00:00","2017-01-03 17:00:00",4
"restaurant_ 737","2017-01-03 18:00:00","2017-01-03 17:00:00",2
"restaurant_ 125","2017-01-03 18:00:00","2017-01-02 20:00:00",5
"restaurant_ 40","2017-01-03 18:00:00","2017-01-02 15:00:00",2
"restaurant_ 524","2017-01-03 18:00:00","2017-01-02 16:00:00",5
"restaurant_ 524","2017-01-03 18:00:00","2017-01-01 15:00:00",4
"restaurant_ 524","2017-01-03 18:00:00","2017-01-02 14:00:00",8
"restaurant_ 173","2017-01-03 18:00:00","2017-01-02 19:00:00",6
"restaurant_ 499","2017-01-03 18:00:00","2017-01-03 15:00:00",3
"restaurant_ 225","2017-01-03 18:00:00","2017-01-03 12:00:00",4
"restaurant_ 225","2017-01-03 18:00:00","2017-01-01 22:00:00",3
"restaurant_ 225","2017-01-03 18:00:00","2017-01-02 16:00:00",4
"restaurant_ 225","2017-01-03 18:00:00","2017-01-02 00:00:00",2
"restaurant_ 225","2017-01-03 18:00:00","2017-01-02 17:00:00",2
"restaurant_ 126","2017-01-03 18:00:00","2017-01-02 19:00:00",5
"restaurant_ 126","2017-01-03 18:00:00","2017-01-01 23:00:00",6
"restaurant_ 740","2017-01-03 18:00:00","2017-01-03 18:00:00",5
"restaurant_ 740","2017-01-03 18:00:00","2017-01-03 18:00:00",2
"restaurant_ 504","2017-01-03 18:00:00","2017-01-03 15:00:00",2
"restaurant_ 504","2017-01-03 18:00:00","2017-01-03 17:00:00",2
"restaurant_ 504","2017-01-03 18:00:00","2017-01-03 17:00:00",8
"restaurant_ 215","2017-01-03 18:00:00","2017-01-03 17:00:00",2
"restaurant_ 458","2017-01-03 19:00:00","2017-01-03 16:00:00",3
"restaurant_ 458","2017-01-03 19:00:00","2017-01-03 16:00:00",2
"restaurant_ 498","2017-01-03 19:00:00","2017-01-01 23:00:00",8
"restaurant_ 539","2017-01-03 19:00:00","2017-01-03 17:00:00",2
"restaurant_ 453","2017-01-03 19:00:00","2017-01-02 18:00:00",2
"restaurant_ 810","2017-01-03 19:00:00","2017-01-03 17:00:00",4
"restaurant_ 100","2017-01-03 19:00:00","2017-01-03 19:00:00",3
"restaurant_ 658","2017-01-03 19:00:00","2017-01-03 11:00:00",2
"restaurant_ 621","2017-01-03 19:00:00","2017-01-03 16:00:00",10
"restaurant_ 69","2017-01-03 19:00:00","2017-01-03 17:00:00",6
"restaurant_ 83","2017-01-03 19:00:00","2017-01-02 21:00:00",2
"restaurant_ 214","2017-01-03 19:00:00","2017-01-03 19:00:00",2
"restaurant_ 66","2017-01-03 19:00:00","2017-01-01 21:00:00",2
"restaurant_ 763","2017-01-03 19:00:00","2017-01-03 16:00:00",10
"restaurant_ 737","2017-01-03 19:00:00","2017-01-03 18:00:00",2
"restaurant_ 50","2017-01-03 19:00:00","2017-01-03 18:00:00",3
"restaurant_ 524","2017-01-03 19:00:00","2017-01-02 13:00:00",4
"restaurant_ 173","2017-01-03 19:00:00","2017-01-03 18:00:00",6
"restaurant_ 225","2017-01-03 19:00:00","2017-01-03 18:00:00",3
"restaurant_ 436","2017-01-03 19:00:00","2017-01-03 17:00:00",5
"restaurant_ 436","2017-01-03 19:00:00","2017-01-03 17:00:00",6
"restaurant_ 126","2017-01-03 19:00:00","2017-01-02 17:00:00",4
"restaurant_ 126","2017-01-03 19:00:00","2017-01-03 15:00:00",4
"restaurant_ 126","2017-01-03 19:00:00","2017-01-03 17:00:00",2
"restaurant_ 130","2017-01-03 19:00:00","2017-01-03 16:00:00",2
"restaurant_ 504","2017-01-03 19:00:00","2017-01-02 15:00:00",6
"restaurant_ 543","2017-01-03 19:00:00","2017-01-02 18:00:00",6
"restaurant_ 489","2017-01-03 20:00:00","2017-01-02 23:00:00",3
"restaurant_ 539","2017-01-03 20:00:00","2017-01-03 16:00:00",4
"restaurant_ 539","2017-01-03 20:00:00","2017-01-03 17:00:00",3
"restaurant_ 437","2017-01-03 20:00:00","2017-01-03 18:00:00",3
"restaurant_ 437","2017-01-03 20:00:00","2017-01-02 17:00:00",3
"restaurant_ 536","2017-01-03 20:00:00","2017-01-01 16:00:00",4
"restaurant_ 536","2017-01-03 20:00:00","2017-01-02 19:00:00",5
"restaurant_ 536","2017-01-03 20:00:00","2017-01-03 14:00:00",2
"restaurant_ 536","2017-01-03 20:00:00","2017-01-03 17:00:00",2
"restaurant_ 91","2017-01-03 20:00:00","2017-01-03 16:00:00",2
"restaurant_ 83","2017-01-03 20:00:00","2017-01-03 18:00:00",4
"restaurant_ 64","2017-01-03 20:00:00","2017-01-03 16:00:00",5
"restaurant_ 232","2017-01-03 20:00:00","2017-01-03 18:00:00",2
"restaurant_ 708","2017-01-03 20:00:00","2017-01-02 13:00:00",2
"restaurant_ 708","2017-01-03 20:00:00","2017-01-02 13:00:00",2
"restaurant_ 708","2017-01-03 20:00:00","2017-01-03 20:00:00",2
"restaurant_ 173","2017-01-03 20:00:00","2017-01-02 23:00:00",6
"restaurant_ 225","2017-01-03 20:00:00","2017-01-03 18:00:00",2
"restaurant_ 740","2017-01-03 20:00:00","2017-01-03 20:00:00",2
"restaurant_ 433","2017-01-03 20:00:00","2017-01-03 18:00:00",2
"restaurant_ 622","2017-01-03 20:00:00","2017-01-03 15:00:00",2
"restaurant_ 622","2017-01-03 20:00:00","2017-01-02 22:00:00",2
"restaurant_ 622","2017-01-03 20:00:00","2017-01-03 15:00:00",3
"restaurant_ 622","2017-01-03 20:00:00","2017-01-03 15:00:00",5
"restaurant_ 539","2017-01-03 21:00:00","2017-01-03 17:00:00",2
"restaurant_ 539","2017-01-03 21:00:00","2017-01-03 18:00:00",2
"restaurant_ 465","2017-01-03 21:00:00","2017-01-03 11:00:00",3
"restaurant_ 465","2017-01-03 21:00:00","2017-01-03 11:00:00",4
"restaurant_ 171","2017-01-03 21:00:00","2017-01-03 14:00:00",2
"restaurant_ 458","2017-01-03 22:00:00","2017-01-03 17:00:00",2
"restaurant_ 125","2017-01-03 22:00:00","2017-01-03 19:00:00",2
"restaurant_ 47","2017-01-03 22:00:00","2017-01-02 16:00:00",3
"restaurant_ 740","2017-01-03 22:00:00","2017-01-03 22:00:00",3
"restaurant_ 327","2017-01-03 23:00:00","2017-01-02 20:00:00",4
"restaurant_ 171","2017-01-03 23:00:00","2017-01-03 20:00:00",2
"restaurant_ 327","2017-01-04 00:00:00","2017-01-04 00:00:00",2
"restaurant_ 327","2017-01-04 00:00:00","2017-01-04 00:00:00",3
"restaurant_ 327","2017-01-04 00:00:00","2017-01-04 00:00:00",2
"restaurant_ 327","2017-01-04 00:00:00","2017-01-04 00:00:00",1
"restaurant_ 327","2017-01-04 00:00:00","2017-01-04 00:00:00",2
"restaurant_ 68","2017-01-04 11:00:00","2017-01-04 09:00:00",2
"restaurant_ 68","2017-01-04 11:00:00","2017-01-03 19:00:00",2
"restaurant_ 68","2017-01-04 11:00:00","2017-01-02 16:00:00",4
"restaurant_ 243","2017-01-04 12:00:00","2017-01-03 21:00:00",2
"restaurant_ 68","2017-01-04 12:00:00","2017-01-03 19:00:00",4
"restaurant_ 41","2017-01-04 12:00:00","2017-01-04 10:00:00",2
"restaurant_ 41","2017-01-04 12:00:00","2017-01-02 19:00:00",2
"restaurant_ 41","2017-01-04 13:00:00","2017-01-04 09:00:00",2
"restaurant_ 493","2017-01-04 14:00:00","2017-01-03 21:00:00",10
"restaurant_ 41","2017-01-04 14:00:00","2017-01-04 10:00:00",3
"restaurant_ 352","2017-01-04 15:00:00","2017-01-04 13:00:00",2
"restaurant_ 619","2017-01-04 16:00:00","2017-01-03 16:00:00",5
"restaurant_ 756","2017-01-04 17:00:00","2017-01-04 17:00:00",4
"restaurant_ 478","2017-01-04 17:00:00","2017-01-03 16:00:00",8
"restaurant_ 522","2017-01-04 17:00:00","2017-01-02 22:00:00",5
"restaurant_ 415","2017-01-04 17:00:00","2017-01-03 11:00:00",4
"restaurant_ 68","2017-01-04 17:00:00","2017-01-04 14:00:00",6
"restaurant_ 68","2017-01-04 17:00:00","2017-01-04 13:00:00",2
"restaurant_ 737","2017-01-04 17:00:00","2017-01-04 16:00:00",3
"restaurant_ 483","2017-01-04 17:00:00","2017-01-03 22:00:00",4
"restaurant_ 225","2017-01-04 17:00:00","2017-01-04 16:00:00",2
"restaurant_ 740","2017-01-04 17:00:00","2017-01-03 23:00:00",4
"restaurant_ 103","2017-01-04 17:00:00","2017-01-03 17:00:00",2
"restaurant_ 458","2017-01-04 18:00:00","2017-01-03 19:00:00",2
"restaurant_ 489","2017-01-04 18:00:00","2017-01-02 20:00:00",3
"restaurant_ 453","2017-01-04 18:00:00","2017-01-04 14:00:00",11
"restaurant_ 803","2017-01-04 18:00:00","2017-01-04 17:00:00",2
"restaurant_ 803","2017-01-04 18:00:00","2017-01-04 18:00:00",4
"restaurant_ 560","2017-01-04 18:00:00","2017-01-04 11:00:00",3
"restaurant_ 205","2017-01-04 18:00:00","2017-01-02 19:00:00",2
"restaurant_ 712","2017-01-04 18:00:00","2017-01-04 18:00:00",3
"restaurant_ 92","2017-01-04 18:00:00","2017-01-03 20:00:00",2
"restaurant_ 415","2017-01-04 18:00:00","2017-01-04 12:00:00",2
"restaurant_ 429","2017-01-04 18:00:00","2017-01-04 18:00:00",8
"restaurant_ 429","2017-01-04 18:00:00","2017-01-04 17:00:00",14
"restaurant_ 612","2017-01-04 18:00:00","2017-01-04 15:00:00",3
"restaurant_ 68","2017-01-04 18:00:00","2017-01-04 14:00:00",2
"restaurant_ 124","2017-01-04 18:00:00","2017-01-04 17:00:00",3
"restaurant_ 737","2017-01-04 18:00:00","2017-01-04 16:00:00",2
"restaurant_ 815","2017-01-04 18:00:00","2017-01-04 15:00:00",3
"restaurant_ 53","2017-01-04 18:00:00","2017-01-04 13:00:00",8
"restaurant_ 53","2017-01-04 18:00:00","2017-01-04 13:00:00",5
"restaurant_ 438","2017-01-04 18:00:00","2017-01-01 13:00:00",4
"restaurant_ 225","2017-01-04 18:00:00","2017-01-03 17:00:00",2
"restaurant_ 225","2017-01-04 18:00:00","2017-01-04 10:00:00",3
"restaurant_ 225","2017-01-04 18:00:00","2017-01-04 16:00:00",2
"restaurant_ 436","2017-01-04 18:00:00","2017-01-03 18:00:00",3
"restaurant_ 126","2017-01-04 18:00:00","2017-01-03 23:00:00",2
"restaurant_ 500","2017-01-04 18:00:00","2017-01-02 09:00:00",3
"restaurant_ 500","2017-01-04 18:00:00","2017-01-03 17:00:00",5
"restaurant_ 500","2017-01-04 18:00:00","2017-01-04 17:00:00",2
"restaurant_ 740","2017-01-04 18:00:00","2017-01-02 18:00:00",8
"restaurant_ 740","2017-01-04 18:00:00","2017-01-04 15:00:00",2
"restaurant_ 41","2017-01-04 18:00:00","2017-01-03 16:00:00",5
"restaurant_ 803","2017-01-04 19:00:00","2017-01-04 16:00:00",2
"restaurant_ 166","2017-01-04 19:00:00","2017-01-04 17:00:00",3
"restaurant_ 93","2017-01-04 19:00:00","2017-01-04 17:00:00",4
"restaurant_ 93","2017-01-04 19:00:00","2017-01-04 15:00:00",3
"restaurant_ 586","2017-01-04 19:00:00","2017-01-04 15:00:00",2
"restaurant_ 586","2017-01-04 19:00:00","2017-01-02 21:00:00",7
"restaurant_ 92","2017-01-04 19:00:00","2017-01-02 00:00:00",3
"restaurant_ 92","2017-01-04 19:00:00","2017-01-04 05:00:00",4
"restaurant_ 388","2017-01-04 19:00:00","2017-01-04 19:00:00",4
"restaurant_ 612","2017-01-04 19:00:00","2017-01-04 15:00:00",2
"restaurant_ 243","2017-01-04 19:00:00","2017-01-04 13:00:00",4
"restaurant_ 509","2017-01-04 19:00:00","2017-01-04 00:00:00",2
"restaurant_ 124","2017-01-04 19:00:00","2017-01-02 19:00:00",2
"restaurant_ 737","2017-01-04 19:00:00","2017-01-04 16:00:00",7
"restaurant_ 737","2017-01-04 19:00:00","2017-01-04 17:00:00",2
"restaurant_ 563","2017-01-04 19:00:00","2017-01-03 20:00:00",3
"restaurant_ 563","2017-01-04 19:00:00","2017-01-02 21:00:00",4
"restaurant_ 327","2017-01-04 19:00:00","2017-01-03 12:00:00",10
"restaurant_ 492","2017-01-04 19:00:00","2017-01-04 18:00:00",2
"restaurant_ 53","2017-01-04 19:00:00","2017-01-04 19:00:00",2
"restaurant_ 225","2017-01-04 19:00:00","2017-01-04 19:00:00",2
"restaurant_ 225","2017-01-04 19:00:00","2017-01-03 15:00:00",3
"restaurant_ 225","2017-01-04 19:00:00","2017-01-04 17:00:00",2
"restaurant_ 500","2017-01-04 19:00:00","2017-01-04 19:00:00",2
"restaurant_ 130","2017-01-04 19:00:00","2017-01-04 12:00:00",2
"restaurant_ 543","2017-01-04 19:00:00","2017-01-02 23:00:00",2
"restaurant_ 433","2017-01-04 19:00:00","2017-01-03 18:00:00",9
"restaurant_ 433","2017-01-04 19:00:00","2017-01-03 21:00:00",2
"restaurant_ 433","2017-01-04 19:00:00","2017-01-04 15:00:00",2
"restaurant_ 433","2017-01-04 19:00:00","2017-01-04 15:00:00",4
"restaurant_ 433","2017-01-04 19:00:00","2017-01-02 22:00:00",2
"restaurant_ 433","2017-01-04 19:00:00","2017-01-01 18:00:00",2
"restaurant_ 469","2017-01-04 19:00:00","2017-01-04 19:00:00",2
"restaurant_ 469","2017-01-04 19:00:00","2017-01-04 19:00:00",2
"restaurant_ 489","2017-01-04 20:00:00","2017-01-04 16:00:00",2
"restaurant_ 498","2017-01-04 20:00:00","2017-01-04 17:00:00",7
"restaurant_ 810","2017-01-04 20:00:00","2017-01-04 18:00:00",2
"restaurant_ 437","2017-01-04 20:00:00","2017-01-03 18:00:00",2
"restaurant_ 437","2017-01-04 20:00:00","2017-01-04 16:00:00",2
"restaurant_ 803","2017-01-04 20:00:00","2017-01-04 19:00:00",2
"restaurant_ 455","2017-01-04 20:00:00","2017-01-04 20:00:00",2
